132,6,20,200,30,150
362,6,20,200,30,150
592,6,20,200,30,150
822,6,20,200,30,150
1052,6,20,200,30,150
1282,6,20,200,30,150
1512,6,20,200,30,150
1712,10,20,200,30,150
1722,10,20,200,30,150
1862,6,20,200,30,150
1994,6,20,200,30,150
2234,6,20,200,30,150
2474,6,20,200,30,150
2714,6,20,200,30,150
2954,6,20,200,30,150
3194,6,20,200,30,150
3434,6,20,200,30,150
3674,6,20,200,30,150
3914,6,20,200,30,150
4154,6,20,200,30,150
4282,6,20,200,30,150
4502,6,20,200,30,150
4722,6,20,200,30,150
4912,10,20,200,30,150
4922,10,20,200,30,125
5171,6,20,200,30,125
5411,6,20,200,30,125
5651,6,20,200,30,125
5891,6,20,200,30,125
6131,6,20,200,30,125
6371,6,20,200,30,125
6611,6,20,200,30,125
6851,6,20,200,30,125
7091,6,20,200,30,125
7325,6,20,200,30,125
7571,6,20,200,30,125
7811,6,20,200,30,125
8051,6,20,200,30,125
8291,6,20,200,30,125
8501,10,20,200,30,125
8521,10,20,200,30,125
8722,6,20,150,30,100
8962,6,20,150,30,100
9202,6,20,150,30,100
9442,6,20,150,30,100
9682,6,20,150,30,100
9922,6,20,150,30,100
10162,6,20,150,30,100
10402,6,20,150,30,100
10642,6,20,150,30,100
10882,6,20,150,30,100
11092,10,20,150,30,100
11102,10,20,75,25,75
11248.67,6,20,75,25,75
11388.67,6,20,75,25,75
11528.67,6,20,75,25,75
11708.67,6,20,75,25,75
11908.67,6,20,75,25,75
12108.67,6,20,75,25,75
12308.67,6,20,75,25,75
12508.67,6,20,75,25,75
12708.67,6,20,75,25,75
12898.67,10,20,75,25,75
