XFLR5 v6.06

Wing name :        Wing Name
Wing polar name :  T1-9.4 m/s-LLT-x0.000mm
Freestream speed :   9.400 m/s


   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
    1.400   0.827414   0.005764   0.009053   0.014817   0.000000  -0.412412  -0.000000   0.000000   0.000000    9.4000     0.3382
    1.450   0.832317   0.005831   0.009047   0.014877   0.000000  -0.414056  -0.000000   0.000000   0.000000    9.4000     0.3372
    1.500   0.837183   0.005897   0.009039   0.014936   0.000000  -0.415685  -0.000000   0.000000   0.000000    9.4000     0.3363
    1.550   0.842072   0.005964   0.009032   0.014996   0.000000  -0.417330  -0.000000   0.000000   0.000000    9.4000     0.3354
    1.600   0.846991   0.006029   0.009025   0.015054   0.000000  -0.418991  -0.000000   0.000000   0.000000    9.4000     0.3345
    1.650   0.851886   0.006098   0.009019   0.015116   0.000000  -0.420647  -0.000000   0.000000   0.000000    9.4000     0.3336
    1.700   0.856801   0.006164   0.009012   0.015176   0.000000  -0.422315  -0.000000   0.000000   0.000000    9.4000     0.3326
    1.750   0.861693   0.006234   0.009006   0.015239   0.000000  -0.423978  -0.000000   0.000000   0.000000    9.4000     0.3317
    1.800   0.866606   0.006301   0.008999   0.015300   0.000000  -0.425653  -0.000000   0.000000   0.000000    9.4000     0.3308
    1.850   0.871503   0.006372   0.008993   0.015365   0.000000  -0.427326  -0.000000   0.000000   0.000000    9.4000     0.3299
    1.900   0.876441   0.006443   0.008988   0.015431   0.000000  -0.429027  -0.000000   0.000000   0.000000    9.4000     0.3290
    1.950   0.881325   0.006515   0.008983   0.015498   0.000000  -0.430704  -0.000000   0.000000   0.000000    9.4000     0.3281
    2.000   0.886126   0.006586   0.008979   0.015565   0.000000  -0.432345  -0.000000   0.000000   0.000000    9.4000     0.3273
    2.050   0.890903   0.006656   0.008976   0.015632   0.000000  -0.433978  -0.000000   0.000000   0.000000    9.4000     0.3265
    2.100   0.895680   0.006726   0.008972   0.015699   0.000000  -0.435613  -0.000000   0.000000   0.000000    9.4000     0.3256
    2.150   0.900444   0.006796   0.008969   0.015766   0.000000  -0.437246  -0.000000   0.000000   0.000000    9.4000     0.3248
    2.200   0.905210   0.006867   0.008966   0.015833   0.000000  -0.438883  -0.000000   0.000000   0.000000    9.4000     0.3240
    2.250   0.909977   0.006937   0.008963   0.015901   0.000000  -0.440524  -0.000000   0.000000   0.000000    9.4000     0.3232
    2.300   0.914743   0.007009   0.008960   0.015969   0.000000  -0.442169  -0.000000   0.000000   0.000000    9.4000     0.3224
    2.350   0.919510   0.007080   0.008957   0.016037   0.000000  -0.443818  -0.000000   0.000000   0.000000    9.4000     0.3216
    2.400   0.924278   0.007152   0.008955   0.016107   0.000000  -0.445472  -0.000000   0.000000   0.000000    9.4000     0.3207
    2.450   0.929181   0.007226   0.008954   0.016180   0.000000  -0.447206  -0.000000   0.000000   0.000000    9.4000     0.3200
    2.500   0.934046   0.007300   0.008952   0.016252   0.000000  -0.448923  -0.000000   0.000000   0.000000    9.4000     0.3192
    2.550   0.938922   0.007374   0.008950   0.016324   0.000000  -0.450649  -0.000000   0.000000  -0.000000    9.4000     0.3185
    2.600   0.943794   0.007449   0.008948   0.016397   0.000000  -0.452377  -0.000000   0.000000   0.000000    9.4000     0.3177
    2.650   0.948651   0.007526   0.008946   0.016471   0.000000  -0.454102  -0.000000   0.000000   0.000000    9.4000     0.3170
    2.700   0.953515   0.007600   0.008944   0.016544   0.000000  -0.455833  -0.000000   0.000000   0.000000    9.4000     0.3163
    2.750   0.958363   0.007677   0.008942   0.016620   0.000000  -0.457560  -0.000000   0.000000   0.000000    9.4000     0.3155
    2.800   0.963229   0.007752   0.008941   0.016693   0.000000  -0.459300  -0.000000   0.000000   0.000000    9.4000     0.3148
    2.850   0.968077   0.007830   0.008939   0.016769   0.000000  -0.461036  -0.000000   0.000000   0.000000    9.4000     0.3141
    2.900   0.972944   0.007906   0.008937   0.016843   0.000000  -0.462784  -0.000000   0.000000  -0.000000    9.4000     0.3134
    2.950   0.977782   0.007985   0.008936   0.016921   0.000000  -0.464522  -0.000000   0.000000  -0.000000    9.4000     0.3126
    3.000   0.982685   0.008062   0.008936   0.016998   0.000000  -0.466301  -0.000000   0.000000   0.000000    9.4000     0.3119
    3.050   0.987454   0.008141   0.008935   0.017076   0.000000  -0.468014  -0.000000   0.000000  -0.000000    9.4000     0.3113
    3.100   0.992209   0.008219   0.008935   0.017154   0.000000  -0.469723  -0.000000   0.000000   0.000000    9.4000     0.3106
    3.150   0.996967   0.008297   0.008934   0.017231   0.000000  -0.471437  -0.000000   0.000000   0.000000    9.4000     0.3099
    3.200   1.001729   0.008371   0.008934   0.017306   0.000000  -0.473155  -0.000000   0.000000   0.000000    9.4000     0.3093
    3.250   1.006464   0.008450   0.008935   0.017384   0.000000  -0.474864  -0.000000   0.000000   0.000000    9.4000     0.3086
    3.300   1.011213   0.008526   0.008935   0.017461   0.000000  -0.476583  -0.000000   0.000000   0.000000    9.4000     0.3079
    3.350   1.015942   0.008606   0.008935   0.017542   0.000000  -0.478298  -0.000000   0.000000   0.000000    9.4000     0.3073
    3.400   1.020689   0.008684   0.008936   0.017620   0.000000  -0.480024  -0.000000   0.000000   0.000000    9.4000     0.3066
    3.450   1.025416   0.008765   0.008936   0.017701   0.000000  -0.481745  -0.000000   0.000000   0.000000    9.4000     0.3060
    3.500   1.030216   0.008845   0.008940   0.017784   0.000000  -0.483510  -0.000000   0.000000   0.000000    9.4000     0.3053
    3.550   1.035025   0.008928   0.008947   0.017875   0.000000  -0.485292  -0.000000   0.000000   0.000000    9.4000     0.3047
    3.600   1.039818   0.009008   0.008955   0.017963   0.000000  -0.487070  -0.000000   0.000000  -0.000000    9.4000     0.3041
    3.650   1.044592   0.009092   0.008963   0.018055   0.000000  -0.488844  -0.000000   0.000000  -0.000000    9.4000     0.3035
    3.700   1.049386   0.009173   0.008971   0.018144   0.000000  -0.490630  -0.000000   0.000000   0.000000    9.4000     0.3029
    3.750   1.054154   0.009258   0.008979   0.018237   0.000000  -0.492408  -0.000000   0.000000  -0.000000    9.4000     0.3023
    3.800   1.058921   0.009342   0.008988   0.018330   0.000000  -0.494188  -0.000000   0.000000  -0.000000    9.4000     0.3017
    3.850   1.063688   0.009426   0.008996   0.018422   0.000000  -0.495972  -0.000000   0.000000   0.000000    9.4000     0.3011
    3.900   1.068456   0.009510   0.009005   0.018515   0.000000  -0.497760  -0.000000   0.000000   0.000000    9.4000     0.3006
    3.950   1.073225   0.009595   0.009013   0.018608   0.000000  -0.499552  -0.000000   0.000000  -0.000000    9.4000     0.3000
    4.000   1.077980   0.009679   0.009022   0.018702   0.000000  -0.501340  -0.000000   0.000000  -0.000000    9.4000     0.2994
    4.050   1.082676   0.009764   0.009033   0.018796   0.000000  -0.503101  -0.000000   0.000000   0.000000    9.4000     0.2988
    4.100   1.087322   0.009848   0.009044   0.018892   0.000000  -0.504839  -0.000000   0.000000   0.000000    9.4000     0.2982
    4.150   1.091961   0.009932   0.009056   0.018987   0.000000  -0.506577  -0.000000   0.000000  -0.000000    9.4000     0.2977
    4.200   1.096600   0.010016   0.009067   0.019083   0.000000  -0.508319  -0.000000   0.000000  -0.000000    9.4000     0.2971
    4.250   1.101240   0.010101   0.009079   0.019179   0.000000  -0.510064  -0.000000   0.000000  -0.000000    9.4000     0.2966
    4.300   1.105872   0.010185   0.009091   0.019276   0.000000  -0.511809  -0.000000   0.000000   0.000000    9.4000     0.2960
    4.350   1.110494   0.010273   0.009102   0.019375   0.000000  -0.513553  -0.000000   0.000000  -0.000000    9.4000     0.2955
    4.400   1.115115   0.010361   0.009114   0.019475   0.000000  -0.515301  -0.000000   0.000000  -0.000000    9.4000     0.2949
    4.450   1.119749   0.010447   0.009126   0.019572   0.000000  -0.517057  -0.000000   0.000000   0.000000    9.4000     0.2944
    4.500   1.124367   0.010535   0.009138   0.019672   0.000000  -0.518809  -0.000000   0.000000   0.000000    9.4000     0.2938
    4.550   1.129019   0.010620   0.009153   0.019773   0.000000  -0.520583  -0.000000   0.000000   0.000000    9.4000     0.2933
    4.600   1.133753   0.010710   0.009176   0.019886   0.000000  -0.522414  -0.000000   0.000000   0.000000    9.4000     0.2928
    4.650   1.138511   0.010799   0.009199   0.019998   0.000000  -0.524260  -0.000000   0.000000  -0.000000    9.4000     0.2923
    4.700   1.143254   0.010890   0.009223   0.020113   0.000000  -0.526103  -0.000000   0.000000   0.000000    9.4000     0.2918
    4.750   1.148012   0.010979   0.009247   0.020226   0.000000  -0.527957  -0.000000   0.000000   0.000000    9.4000     0.2913
    4.800   1.152752   0.011072   0.009271   0.020343   0.000000  -0.529806  -0.000000   0.000000   0.000000    9.4000     0.2908
    4.850   1.157501   0.011161   0.009295   0.020457   0.000000  -0.531661  -0.000000   0.000000   0.000000    9.4000     0.2903
    4.900   1.162235   0.011254   0.009320   0.020574   0.000000  -0.533514  -0.000000   0.000000  -0.000000    9.4000     0.2898
    4.950   1.166984   0.011345   0.009344   0.020689   0.000000  -0.535377  -0.000000   0.000000  -0.000000    9.4000     0.2893
    5.000   1.171718   0.011439   0.009368   0.020807   0.000000  -0.537236  -0.000000   0.000000  -0.000000    9.4000     0.2888
    5.050   1.176447   0.011530   0.009394   0.020924   0.000000  -0.539095  -0.000000   0.000000  -0.000000    9.4000     0.2883
    5.100   1.181053   0.011618   0.009426   0.021044   0.000000  -0.540894  -0.000000   0.000000  -0.000000    9.4000     0.2878
    5.150   1.185585   0.011707   0.009463   0.021170   0.000000  -0.542657  -0.000000   0.000000  -0.000000    9.4000     0.2874
    5.200   1.190096   0.011796   0.009500   0.021296   0.000000  -0.544411  -0.000000   0.000000  -0.000000    9.4000     0.2869
    5.250   1.194606   0.011885   0.009538   0.021423   0.000000  -0.546168  -0.000000   0.000000  -0.000000    9.4000     0.2864
    5.300   1.199115   0.011975   0.009575   0.021551   0.000000  -0.547928  -0.000000   0.000000  -0.000000    9.4000     0.2859
    5.350   1.203606   0.012068   0.009613   0.021681   0.000000  -0.549682  -0.000000   0.000000   0.000000    9.4000     0.2855
