#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.83222  0.18633  0.10786  1.56811  0.000000  0.000000  0.000000     1.000
   0.83855  0.18017  0.10642  1.57350  0.000000  0.000000  0.000000     1.000
   0.84479  0.17411  0.10494  1.58104  0.000000  0.000000  0.000000     1.000
   0.85093  0.16816  0.10339  1.56907  0.000000  0.000000  0.000000     1.000
   0.85699  0.16231  0.10182  1.56898  0.000000  0.000000  0.000000     1.000
   0.86295  0.15657  0.10023  1.56942  0.000000  0.000000  0.000000     1.000
   0.86882  0.15092  0.09861  1.57359  0.000000  0.000000  0.000000     1.000
   0.87460  0.14539  0.09695  1.56866  0.000000  0.000000  0.000000     1.000
   0.88029  0.13995  0.09526  1.56680  0.000000  0.000000  0.000000     1.000
   0.88589  0.13462  0.09355  1.57152  0.000000  0.000000  0.000000     1.000
   0.89141  0.12939  0.09179  1.56108  0.000000  0.000000  0.000000     1.000
   0.89683  0.12427  0.09002  1.55876  0.000000  0.000000  0.000000     1.000
   0.90215  0.11925  0.08824  1.56220  0.000000  0.000000  0.000000     1.000
   0.90740  0.11433  0.08643  1.56610  0.000000  0.000000  0.000000     1.000
   0.91255  0.10952  0.08457  1.55257  0.000000  0.000000  0.000000     1.000
   0.91762  0.10481  0.08270  1.54452  0.000000  0.000000  0.000000     1.000
   0.92259  0.10020  0.08084  1.55817  0.000000  0.000000  0.000000     1.000
   0.92748  0.09570  0.07893  1.54442  0.000000  0.000000  0.000000     1.000
   0.93228  0.09130  0.07701  1.53843  0.000000  0.000000  0.000000     1.000
   0.93699  0.08700  0.07509  1.54922  0.000000  0.000000  0.000000     1.000
   0.94162  0.08281  0.07312  1.53030  0.000000  0.000000  0.000000     1.000
   0.94616  0.07872  0.07115  1.52710  0.000000  0.000000  0.000000     1.000
   0.95060  0.07474  0.06918  1.52380  0.000000  0.000000  0.000000     1.000
   0.95496  0.07086  0.06720  1.52229  0.000000  0.000000  0.000000     1.000
   0.95923  0.06708  0.06520  1.51444  0.000000  0.000000  0.000000     1.000
   0.96343  0.06340  0.06319  1.51036  0.000000  0.000000  0.000000     1.000
   0.96753  0.05983  0.06117  1.50191  0.000000  0.000000  0.000000     1.000
   0.97155  0.05636  0.05914  1.49152  0.000000  0.000000  0.000000     1.000
   0.97547  0.05300  0.05712  1.48334  0.000000  0.000000  0.000000     1.000
   0.97930  0.04974  0.05511  1.48783  0.000000  0.000000  0.000000     1.000
   0.98306  0.04658  0.05307  1.47333  0.000000  0.000000  0.000000     1.000
   0.98673  0.04353  0.05103  1.45649  0.000000  0.000000  0.000000     1.000
   0.99031  0.04058  0.04901  1.45338  0.000000  0.000000  0.000000     1.000
   0.99380  0.03773  0.04699  1.44378  0.000000  0.000000  0.000000     1.000
   0.99720  0.03499  0.04498  1.43044  0.000000  0.000000  0.000000     1.000
   1.00050  0.03235  0.04299  1.42693  0.000000  0.000000  0.000000     1.000
   1.00373  0.02981  0.04100  1.42223  0.000000  0.000000  0.000000     1.000
   1.00688  0.02738  0.03900  1.39616  0.000000  0.000000  0.000000     1.000
   1.00993  0.02505  0.03703  1.38431  0.000000  0.000000  0.000000     1.000
   1.01288  0.02282  0.03509  1.38253  0.000000  0.000000  0.000000     1.000
   1.01575  0.02070  0.03316  1.36257  0.000000  0.000000  0.000000     1.000
   1.01852  0.01868  0.03126  1.35903  0.000000  0.000000  0.000000     1.000
   1.02121  0.01677  0.02937  1.34553  0.000000  0.000000  0.000000     1.000
   1.02383  0.01496  0.02748  1.31418  0.000000  0.000000  0.000000     1.000
   1.02634  0.01325  0.02564  1.30635  0.000000  0.000000  0.000000     1.000
   1.02875  0.01165  0.02384  1.29066  0.000000  0.000000  0.000000     1.000
   1.03108  0.01014  0.02206  1.27840  0.000000  0.000000  0.000000     1.000
   1.03330  0.00875  0.02033  1.26615  0.000000  0.000000  0.000000     1.000
   1.03547  0.00745  0.01860  1.25134  0.000000  0.000000  0.000000     1.000
   1.03756  0.00626  0.01688  1.21258  0.000000  0.000000  0.000000     1.000
   1.03953  0.00518  0.01523  1.19599  0.000000  0.000000  0.000000     1.000
   1.04144  0.00419  0.01360  1.18090  0.000000  0.000000  0.000000     1.000
   1.04327  0.00331  0.01199  1.14304  0.000000  0.000000  0.000000     1.000
   1.04500  0.00254  0.01044  1.14799  0.000000  0.000000  0.000000     1.000
   1.04687  0.00186  0.00870  1.05756  0.000000  0.000000  0.000000     1.000
   1.04872  0.00129  0.00694  0.98392  0.000000  0.000000  0.000000     1.000
   1.05048  0.00083  0.00524  0.91085  0.000000  0.000000  0.000000     1.000
   1.05210  0.00047  0.00366  0.86091  0.000000  0.000000  0.000000     1.000
   1.05363  0.00021  0.00215  0.77690  0.000000  0.000000  0.000000     1.000
   1.05465  0.00005  0.00115  0.80077  0.000000  0.000000  0.000000     1.000
   1.05580  0.00000  0.00000  0.70691  0.000000  0.000000  0.000000     1.000
   1.05696  0.00005 -0.00116  0.62639  0.000000  0.000000  0.000000     1.000
   1.05815  0.00021 -0.00234  0.52002  0.000000  0.000000  0.000000     1.000
   1.05944  0.00047 -0.00360  0.41617  0.000000  0.000000  0.000000     1.000
   1.06078  0.00083 -0.00490  0.32021  0.000000  0.000000  0.000000     1.000
   1.06200  0.00129 -0.00602  0.20503  0.000000  0.000000  0.000000     1.000
   1.06321  0.00186 -0.00709  0.09640  0.000000  0.000000  0.000000     1.000
   1.06443  0.00254 -0.00811 -0.02103  0.000000  0.000000  0.000000     1.000
   1.06552  0.00331 -0.00887 -0.10223  0.000000  0.000000  0.000000     1.000
   1.06671  0.00419 -0.00968 -0.18973  0.000000  0.000000  0.000000     1.000
   1.06794  0.00518 -0.01041 -0.23589  0.000000  0.000000  0.000000     1.000
   1.06928  0.00626 -0.01120 -0.29830  0.000000  0.000000  0.000000     1.000
   1.07072  0.00745 -0.01202 -0.35420  0.000000  0.000000  0.000000     1.000
   1.07228  0.00875 -0.01287 -0.40572  0.000000  0.000000  0.000000     1.000
   1.07392  0.01014 -0.01375 -0.49575  0.000000  0.000000  0.000000     1.000
   1.07562  0.01165 -0.01452 -0.52186  0.000000  0.000000  0.000000     1.000
   1.07739  0.01325 -0.01527 -0.58884  0.000000  0.000000  0.000000     1.000
   1.07921  0.01496 -0.01591 -0.59638  0.000000  0.000000  0.000000     1.000
   1.08112  0.01677 -0.01653 -0.62325  0.000000  0.000000  0.000000     1.000
   1.08313  0.01868 -0.01713 -0.64523  0.000000  0.000000  0.000000     1.000
   1.08523  0.02070 -0.01772 -0.66019  0.000000  0.000000  0.000000     1.000
   1.08744  0.02282 -0.01833 -0.70538  0.000000  0.000000  0.000000     1.000
   1.08973  0.02505 -0.01888 -0.71851  0.000000  0.000000  0.000000     1.000
   1.09212  0.02738 -0.01940 -0.74180  0.000000  0.000000  0.000000     1.000
   1.09460  0.02981 -0.01987 -0.75938  0.000000  0.000000  0.000000     1.000
   1.09717  0.03235 -0.02028 -0.75792  0.000000  0.000000  0.000000     1.000
   1.09984  0.03499 -0.02068 -0.77348  0.000000  0.000000  0.000000     1.000
   1.10260  0.03773 -0.02105 -0.77913  0.000000  0.000000  0.000000     1.000
   1.10548  0.04058 -0.02141 -0.79644  0.000000  0.000000  0.000000     1.000
   1.10844  0.04353 -0.02173 -0.80689  0.000000  0.000000  0.000000     1.000
   1.11151  0.04658 -0.02200 -0.80930  0.000000  0.000000  0.000000     1.000
   1.11467  0.04974 -0.02224 -0.81645  0.000000  0.000000  0.000000     1.000
   1.11794  0.05300 -0.02244 -0.81238  0.000000  0.000000  0.000000     1.000
   1.12131  0.05636 -0.02264 -0.82189  0.000000  0.000000  0.000000     1.000
   1.12478  0.05983 -0.02282 -0.83147  0.000000  0.000000  0.000000     1.000
   1.12835  0.06340 -0.02296 -0.83009  0.000000  0.000000  0.000000     1.000
   1.13204  0.06708 -0.02309 -0.84587  0.000000  0.000000  0.000000     1.000
   1.13582  0.07086 -0.02315 -0.83812  0.000000  0.000000  0.000000     1.000
   1.13970  0.07474 -0.02319 -0.84149  0.000000  0.000000  0.000000     1.000
   1.14368  0.07872 -0.02320 -0.83727  0.000000  0.000000  0.000000     1.000
   1.14777  0.08281 -0.02321 -0.84142  0.000000  0.000000  0.000000     1.000
   1.15196  0.08700 -0.02321 -0.84769  0.000000  0.000000  0.000000     1.000
   1.15626  0.09130 -0.02318 -0.84993  0.000000  0.000000  0.000000     1.000
   1.16066  0.09570 -0.02312 -0.85306  0.000000  0.000000  0.000000     1.000
   1.16516  0.10020 -0.02302 -0.85022  0.000000  0.000000  0.000000     1.000
   1.16977  0.10481 -0.02290 -0.84930  0.000000  0.000000  0.000000     1.000
   1.17448  0.10952 -0.02277 -0.85000  0.000000  0.000000  0.000000     1.000
   1.17929  0.11433 -0.02263 -0.85124  0.000000  0.000000  0.000000     1.000
   1.18422  0.11925 -0.02248 -0.85629  0.000000  0.000000  0.000000     1.000
   1.18924  0.12427 -0.02230 -0.85695  0.000000  0.000000  0.000000     1.000
   1.19436  0.12939 -0.02209 -0.85872  0.000000  0.000000  0.000000     1.000
   1.19960  0.13462 -0.02184 -0.85393  0.000000  0.000000  0.000000     1.000
   1.20494  0.13995 -0.02158 -0.85214  0.000000  0.000000  0.000000     1.000
   1.21038  0.14539 -0.02132 -0.85390  0.000000  0.000000  0.000000     1.000
   1.21592  0.15092 -0.02105 -0.85459  0.000000  0.000000  0.000000     1.000
   1.22158  0.15657 -0.02077 -0.85698  0.000000  0.000000  0.000000     1.000
   1.22732  0.16231 -0.02047 -0.86105  0.000000  0.000000  0.000000     1.000
   1.23318  0.16816 -0.02012 -0.85537  0.000000  0.000000  0.000000     1.000
   1.23914  0.17411 -0.01976 -0.85452  0.000000  0.000000  0.000000     1.000
   1.24522  0.18017 -0.01939 -0.85301  0.000000  0.000000  0.000000     1.000
   1.25139  0.18633 -0.01902 -0.85308  0.000000  0.000000  0.000000     1.000
   1.25766  0.19259 -0.01865 -0.85589  0.000000  0.000000  0.000000     1.000
   1.26403  0.19895 -0.01826 -0.85611  0.000000  0.000000  0.000000     1.000
   1.27051  0.20542 -0.01785 -0.85818  0.000000  0.000000  0.000000     1.000
   1.27711  0.21200 -0.01740 -0.85278  0.000000  0.000000  0.000000     1.000
   1.28379  0.21867 -0.01695 -0.85208  0.000000  0.000000  0.000000     1.000
   1.29059  0.22545 -0.01650 -0.85042  0.000000  0.000000  0.000000     1.000
   1.29749  0.23234 -0.01606 -0.85434  0.000000  0.000000  0.000000     1.000
   1.30450  0.23933 -0.01560 -0.85428  0.000000  0.000000  0.000000     1.000
   1.31160  0.24642 -0.01512 -0.85493  0.000000  0.000000  0.000000     1.000
   1.31881  0.25361 -0.01461 -0.85084  0.000000  0.000000  0.000000     1.000
   1.32613  0.26091 -0.01410 -0.85011  0.000000  0.000000  0.000000     1.000
   1.33355  0.26831 -0.01359 -0.84873  0.000000  0.000000  0.000000     1.000
   1.34106  0.27581 -0.01309 -0.85067  0.000000  0.000000  0.000000     1.000
   1.34869  0.28342 -0.01258 -0.85167  0.000000  0.000000  0.000000     1.000
   1.35642  0.29113 -0.01205 -0.85025  0.000000  0.000000  0.000000     1.000
   1.36426  0.29895 -0.01151 -0.85062  0.000000  0.000000  0.000000     1.000
   1.37220  0.30687 -0.01095 -0.84691  0.000000  0.000000  0.000000     1.000
   1.38024  0.31489 -0.01040 -0.84644  0.000000  0.000000  0.000000     1.000
   1.38838  0.32302 -0.00986 -0.84722  0.000000  0.000000  0.000000     1.000
   1.39663  0.33125 -0.00932 -0.84911  0.000000  0.000000  0.000000     1.000
   1.40498  0.33958 -0.00876 -0.84763  0.000000  0.000000  0.000000     1.000
