SEIL1330XD_CS3_2
 1.00000     0.00000
 0.99980     0.00001
 0.99921     0.00003
 0.99824     0.00008
 0.99688     0.00014
 0.99515     0.00022
 0.99303     0.00033
 0.99054     0.00046
 0.98766     0.00064
 0.98440     0.00085
 0.98077     0.00112
 0.97677     0.00145
 0.97241     0.00184
 0.96768     0.00230
 0.96261     0.00284
 0.95720     0.00346
 0.95146     0.00416
 0.94540     0.00495
 0.93903     0.00583
 0.93236     0.00679
 0.92540     0.00784
 0.91816     0.00898
 0.91065     0.01021
 0.90288     0.01153
 0.89486     0.01294
 0.88660     0.01444
 0.87811     0.01602
 0.86942     0.01769
 0.86051     0.01944
 0.85142     0.02126
 0.84214     0.02315
 0.83270     0.02511
 0.82309     0.02714
 0.81334     0.02922
 0.80345     0.03134
 0.79343     0.03352
 0.78328     0.03572
 0.77303     0.03796
 0.76267     0.04022
 0.75222     0.04250
 0.74167     0.04478
 0.73105     0.04706
 0.72035     0.04934
 0.70958     0.05160
 0.69874     0.05384
 0.68784     0.05606
 0.67689     0.05824
 0.66589     0.06039
 0.65484     0.06249
 0.64374     0.06454
 0.63261     0.06654
 0.62144     0.06848
 0.61023     0.07037
 0.59900     0.07219
 0.58774     0.07394
 0.57646     0.07563
 0.56516     0.07724
 0.55385     0.07879
 0.54253     0.08025
 0.53120     0.08165
 0.51987     0.08296
 0.50854     0.08419
 0.49722     0.08535
 0.48590     0.08642
 0.47460     0.08742
 0.46331     0.08834
 0.45206     0.08919
 0.44083     0.08997
 0.42965     0.09067
 0.41851     0.09130
 0.40743     0.09184
 0.39641     0.09231
 0.38546     0.09269
 0.37457     0.09300
 0.36377     0.09321
 0.35304     0.09335
 0.34240     0.09340
 0.33185     0.09336
 0.32139     0.09324
 0.31103     0.09304
 0.30078     0.09274
 0.29064     0.09236
 0.28061     0.09190
 0.27070     0.09134
 0.26090     0.09071
 0.25124     0.08999
 0.24170     0.08918
 0.23230     0.08829
 0.22304     0.08732
 0.21391     0.08626
 0.20493     0.08513
 0.19610     0.08392
 0.18742     0.08262
 0.17890     0.08126
 0.17054     0.07982
 0.16234     0.07830
 0.15430     0.07672
 0.14643     0.07507
 0.13874     0.07335
 0.13122     0.07157
 0.12388     0.06973
 0.11671     0.06783
